COURSE #,TITLE/START DATE,Acad Level,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,Start Time,End Time,Meeting Days,Bldg,Room,XLIST CRS,FEE,Min Cred,Max Cred,COREQ CRS,Section,Term,Seq No,Schools,,,,,,,,,,,,,,Acad Level
IS_365_01,Adv Database Syst,UG,25,0,Open,Dr J Nwokeji,09:30AM,10:50AM,T TH,Z,355,,$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
MATH_103_01,Quantitative Literacy,UG,30,0,Open,Mr J Komorek,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_111_01,College Algebra,UG,30,0,Open,Mr J Komorek,08:00AM,09:20AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_111_EE,College Algebra 08/19 - 11/30,UG,0,0,Clsd,Dr A Nogaj,,,,ON,ONLINE,"MATH_111_NU,MATH_111_EE,MATH_111_GN",,3.00,0.00,,EE,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_111_GN,College Algebra 08/19 - 11/30,UG,10,0,Open,Dr A Nogaj,,,,ON,ONLINE,"MATH_111_NU,MATH_111_EE,MATH_111_GN",,3.00,0.00,,GN,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_111_NU,College Algebra 08/19 - 11/30,UG,25,0,Open,Dr A Nogaj,,,,ON,ONLINE,"MATH_111_NU,MATH_111_EE,MATH_111_GN",,3.00,0.00,,NU,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_112_01,Trigonometry,UG,30,0,Open,Ms C Cedzo,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_112_02,Trigonometry,UG,30,0,Open,Ms C Cedzo,12:20PM,01:15PM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_112_1E,Trigonometry,UG,30,0,Open,Mr K Beringer,04:30PM,05:50PM,M W,Z,129,,,3.00,0.00,,1E,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_115_01,Applied Math for Business,UG,30,0,Open,Dr K Holler,08:00AM,09:20AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_115_02,Applied Math for Business,UG,30,0,Open,Dr K Holler,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_115_03,Applied Math for Business,UG,30,0,Open,Dr R Ligo,12:00PM,01:20PM,T TH,,,,,3.00,0.00,,03,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_115_04,Applied Math for Business,UG,30,0,Open,Dr R Ligo,01:30PM,02:50PM,T TH,,,,,3.00,0.00,,04,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_115_1E,Applied Math for Business,UG,30,0,Open,Mr P Chadowski,04:30PM,05:50PM,M W,,,,,3.00,0.00,,1E,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_140_01,Calculus 1,UG,35,0,Open,Ms C Cedzo,09:05AM,10:00AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_140_02,Calculus 1,UG,30,0,Open,Dr D Prier,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_140_03,Calculus 1,UG,30,0,Open,Dr M Caulfield,12:20PM,01:15PM,M W F,,,,,3.00,0.00,,03,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_140_04,Calculus 1,UG,30,0,Open,Dr D Prier,01:25PM,02:20PM,M W F,,,,,3.00,0.00,,04,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_140_05,Calculus 1,UG,30,0,Open,Dr M Caulfield,01:25PM,02:20PM,M W F,,,,,3.00,0.00,,05,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_141_01,Calculus 2,UG,30,0,Open,Dr M Caulfield,09:05AM,10:00AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,
MATH_141_02,Calculus 2,UG,30,0,Open,Ms C Cedzo,11:15AM,12:10PM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_213_01,Applied Statistics,UG,30,0,Open,Dr A Nogaj,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_213_02,Applied Statistics,UG,30,0,Open,Dr P Headley,12:00PM,01:20PM,T TH,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,
MATH_213_03,Applied Statistics,UG,30,0,Open,Dr P Headley,01:25PM,02:45PM,M W,,,,,3.00,0.00,,03,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_222_01,Discrete Math 1,UG,30,0,Open,Dr D Prier,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_222_02,Discrete Math 1,UG,30,0,Open,Dr D Prier,12:00PM,01:20PM,T TH,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_226_01,Geometry,UG,20,0,Cncl,,,,,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_242_01,Calculus 3,UG,30,0,Open,Dr M Caulfield,08:00AM,08:55AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_242_02,Calculus 3,UG,30,0,Open,Dr R Ligo,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_243_01,Calculus 4,UG,30,0,Open,Dr P Headley,09:05AM,10:00AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_301_01,Math Analysis 1,UG,20,0,Open,Dr R Ligo,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_304_01,Diff Equations 1,UG,30,0,Open,Dr G Dietz,11:15AM,12:10PM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_309_01,Abstract Algebra 1,UG,20,0,Cncl,,,,,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_312_01,Probablty & Stats 1,UG,30,0,Open,Dr P Headley,08:00AM,09:20AM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_320_01,Math Modeling (SL),UG,20,0,Open,Dr G Dietz,09:05AM,10:00AM,M W F,Z,130,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_331_01,Financial Math 1,UG,20,0,Open,Dr G Dietz,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,
MATH_341_01,Teach Sec Math,UG,20,0,Cncl,,,,,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_375_01,Internship,UG,10,0,Open,Dr G Dietz,,,,BY-,ARR,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_380_01,UG Math Research,UG,25,0,Open,Staff,,,,BY-,ARR,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
MATH_380_02,UG Math Research,UG,25,0,Cncl,,,,,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_101_99,Honors-Concepts in Physics,UG,35,0,Open,Dr N Conklin,09:30AM,10:50AM,T TH,,,,,3.00,0.00,,99,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_102_01,Intro to Astronomy,UG,35,0,Open,Dr D Horne,12:00PM,01:20PM,T TH,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_105_01,College Physics 1,UG,30,0,Open,Mr P Hilburn,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_105_02,College Physics 1,UG,30,0,Open,Mr P Hilburn,11:15AM,12:10PM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,
PHYS_106_01,College Phys Lab 1,UG,24,0,Open,Dr N Conklin,02:30PM,04:30PM,M,Z,133,,$45,1.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_106_02,College Phys Lab 1,UG,24,0,Open,Dr N Conklin,12:20PM,02:20PM,T,Z,133,,$45,1.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_106_03,College Phys Lab 1,UG,24,0,Open,Dr N Conklin,02:30PM,04:30PM,T,Z,133,,$45,1.00,0.00,,03,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_108_01,College Physics 2,UG,30,0,Open,Dr D Horne,10:10AM,11:05AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_109_01,College Phys Lab 2,UG,18,0,Open,Mr P Hilburn,02:30PM,04:30PM,M,Z,135,,$54,1.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_210_01,Fund Phys 1: Mechanics,UG,30,0,Open,Mr P Hilburn,09:05AM,10:00AM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_211_01,Fund Phys 1 Lab,UG,24,0,Open,Mr P Hilburn,03:00PM,05:00PM,W,Z,133,,$45,1.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_212_01,Fund Phys 2: Fld/Therm,UG,30,0,Open,Dr D Horne,11:15AM,12:10PM,M W F,,,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_212_02,Fund Phys 2: Fld/Therm,UG,30,0,Open,Dr D Horne,12:20PM,01:15PM,M W F,,,,,3.00,0.00,,02,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_213_1E,Fund Phys 2 Lab,UG,18,0,Open,Ms M Hyldahl,05:00PM,07:00PM,W,Z,135,,$45,1.00,0.00,,1E,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_214_01,Fund Phys 3: Elec/Mag,UG,30,0,Open,Mr A Madura,12:20PM,01:15PM,M W F,Z,129,,,3.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
PHYS_218_01,Gen Phy Lab for Engr,UG,24,0,Open,Dr S Bailey,01:30PM,04:30PM,F,Z,135,,$45,1.00,0.00,,01,24/FA,1,ASSS,,,,,,,,,,,,,,GR
SOFT_310_01,Sftw Test&Qlty Assur,UG,24,0,Open,Dr M Rahman,09:30AM,10:50AM,T TH,Z,336,"SOFT_310_01,GCIS_515_0A",$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,GR
SOFT_410_01,Sftw Maintnce Deploymt,UG,24,0,Open,Dr M Rahman,03:00PM,04:20PM,T TH,Z,336,"GCIS_634_0A,SOFT_410_01",$70,3.00,0.00,,01,24/FA,1,ASSEC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mr P Capelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
